epoch,train_loss,val_loss
0,1.6260001314487382,1.3702156898629574
1,1.341090975863189,1.344888171166864
2,1.3093980110492631,1.3252624294533377
3,1.2849135384917731,1.279300944495747
4,1.2656154212650104,1.2750908210178469
5,1.2493191418251972,1.2763763864329551
6,1.2368997918004574,1.2883408875461348
7,1.2240475521539982,1.290465905365042
8,1.2133625502077487,1.2554329391047547
9,1.2016703898916132,1.241898129914553
10,1.1883062382837528,1.2674424516841252
11,1.1763696021807524,1.2549703618649004
12,1.164010368486638,1.2661539363699308
13,1.1506820655905683,1.240918756946858
14,1.1360155098805786,1.29602192750515
15,1.1197374811097096,1.2767141234379284
16,1.1039013521473398,1.2793405004433396
17,1.0855072358097484,1.277362779098815
18,1.0656036120064174,1.2885555436390754
19,1.0469689434601854,1.3017728027395519
20,1.0287725897739999,1.3121343061416406
21,1.0069244601886733,1.3320450185212773
22,0.9875195322866025,1.3410840915157392
23,0.9687267111978041,1.3736483073012116
24,0.9480158707841112,1.3819086509199847
25,0.9293064780197596,1.3922990105534327
26,0.9131258024245854,1.395324795705166
27,0.8947627213915346,1.4181155911737624
28,0.8824573708334459,1.4486673506161638
29,0.8676495252767571,1.4462256740977746
30,0.852375833564125,1.4517617009270485
31,0.8402665853594603,1.4665970188566342
32,0.8273411955946519,1.4799050444561712
33,0.8161644521626559,1.4750268024544881
34,0.8038296288746619,1.4828123969481697
35,0.7942185865749012,1.5409499963933477
36,0.7842737784216055,1.5541777188136883
37,0.7767748490435332,1.529030140422986
38,0.7686497359407749,1.5369663577245594
39,0.7601147394406466,1.5153745913323555
40,0.7507573686758049,1.529503719092831
41,0.7433875372098839,1.5908268907496845
42,0.7374163930029737,1.615730592211593
43,0.731616998604635,1.581931952200672
44,0.7232050566428264,1.5642326744660369
45,0.7191864461955345,1.582139782525403
46,0.7119519650606299,1.5913502749393713
47,0.7092928182843175,1.5923010859072866
48,0.7033023208686014,1.5995769447143853
49,0.6979105079126924,1.6343215808108058
