epoch,train_loss,val_loss
0,3.412715501720889,2.5826378583110694
1,2.5387030757895466,2.4881432258963185
2,2.4735341966447306,2.473634490201306
3,2.4352154794780274,2.457408320863909
4,2.409558000907984,2.450606533037779
5,2.4028278391323674,2.466648171498225
6,2.385663859760144,2.454478543578183
7,2.3734940680184047,2.458842976515907
8,2.378616443943101,2.434921338805387
9,2.3702458942052753,2.4413630960777053
10,2.3704683803635618,2.414097820396806
11,2.365962825111223,2.4432622408787146
12,2.3709799066058515,2.426283111061938
13,2.3841840444966893,2.452908727556567
14,2.373095262560376,2.4447543377062946
15,2.3806588654614713,2.4135221950186536
16,2.386350806287063,2.442235977593872
17,2.3879047554628525,2.428804749708909
18,2.3728209318832088,2.412494040332909
19,2.3595865726828666,2.403462898930578
20,2.362611296776087,2.419320695296578
21,2.356768323965566,2.415150987503919
22,2.3474452853006076,2.408347380998541
23,2.3474192381441727,2.4211274861492043
24,2.3580633843115013,2.4095766321073806
25,2.362007023295512,2.4099367240599565
26,2.3596809307078357,2.4336350343697846
27,2.3502543127456286,2.428140398172232
28,2.346413846548929,2.3942876567011293
29,2.341940945448593,2.405722274110469
30,2.3316638388851936,2.3975069655223833
31,2.323839961944088,2.4130342733899885
32,2.3221355766616902,2.399179203773422
33,2.3156963588130806,2.4131710755785174
34,2.3164986485640804,2.4272437714414052
35,2.313820113470388,2.4354426194194168
36,2.3042003702062104,2.4286439310348156
37,2.293673151893358,2.4459385942057223
38,2.287544410130357,2.455147147577343
39,2.2827163535459367,2.466709546181669
40,2.2754834445043337,2.477019907718518
41,2.264737901351368,2.4908762159953546
42,2.2574594360031046,2.497690251200494
43,2.254835819207182,2.4954665337119213
44,2.252959828523434,2.507083264322185
45,2.2444167116827654,2.498039412259258
46,2.2399897644560944,2.504033854653604
47,2.236676601487179,2.518771593227833
48,2.2310875463378403,2.5094952471678873
49,2.2234175261106155,2.526211966957934
